#,New,Old,Radical,Strokes,Grade,Year added,English meaning,Readings
1614,背,,肉,9,6,,back,"ハイ、せ、せい、そむ-く、そむ-けるhai, se, sei, somu-ku, somu-keru"
1615,肺,,肉,9,6,,lungs,ハイhai
1616,俳,,人,10,6,,haiku,ハイhai
1617,配,,酉,10,3,,distribute,"ハイ、くば-るhai, kuba-ru"
1618,排,,手,11,S,,repudiate,ハイhai
1619,敗,,攴,11,4,,failure,"ハイ、やぶ-れるhai, yabu-reru"
1620,廃,廢,广,12,S,,abolish,"ハイ、すた-れる、すた-るhai, suta-reru, suta-ru"
1621,輩,,車,15,S,,comrade,ハイhai
1622,売,賣,貝,7,2,,sell,"バイ、う-る、う-れるbai, u-ru, u-reru"
1623,倍,,人,10,3,,double,バイbai
1624,梅,梅 [4],木,10,4,,ume (Japanese apricot),"バイ、うめbai, ume"
1625,培,,土,11,S,,cultivate,"バイ、つちか-うbai, tsuchika-u"
1626,陪,,阜,11,S,,obeisance,バイbai
1627,媒,,女,12,S,,mediator,バイbai
1628,買,,貝,12,2,,buy,"バイ、か-うbai, ka-u"
1629,賠,,貝,15,S,,compensation,バイbai
1630,白,,白,5,1,,white,"ハク、ビャク、しろ、（しら）、しろ-いhaku, byaku, shiro, (shira), shiro-i"
1631,伯,,人,7,S,,chief,ハクhaku
1632,拍,,手,8,S,,clap,"ハク、（ヒョウ）haku, (hyō)"
1633,泊,,水,8,S,,overnight,"ハク、と-まる、と-めるhaku, to-maru, to-meru"
1634,迫,,辵,8,S,,urge,"ハク、せま-るhaku, sema-ru"
1635,剝 [7],,刀,10,S,2010,peel,"ハク、は-がす、は-ぐ、は-がれる、は-げるhaku, ha-gasu, ha-gu, ha-gareru, ha-geru"
1636,舶,,舟,11,S,,liner,ハクhaku
1637,博,,十,12,4,,Dr.,"ハク、（バク）haku, (baku)"
1638,薄,,艸,16,S,,dilute,"ハク、うす-い、うす-める、うす-まる、うす-らぐ、うす-れるhaku, usu-i, usu-meru, usu-maru, usu-ragu, usu-reru"
1639,麦,麥,麥,7,2,,wheat,"バク、むぎbaku, mugi"
1640,漠,,水,13,S,1981,vague,バクbaku
1641,縛,,糸,16,S,,truss,"バク、しば-るbaku, shiba-ru"
1642,爆,,火,19,S,,explode,バクbaku
1643,箱,,竹,15,3,,box,はこhako
1644,箸 [7],,竹,15,S,2010,chopsticks,はしhashi
1645,畑,,田,9,3,,farm,"はた、はたけhata, hatake"
1646,肌,,肉,6,S,1981,texture,はだhada
1647,八,,八,2,1,,eight,"ハチ、や、や-つ、やっ-つ、（よう）hachi, ya, ya-tsu, ya'-tsu, (yō)"
1648,鉢,,金,13,S,1981,bowl,"ハチ、（ハツ）hachi, (hatsu)"
1649,発,發,癶,9,3,,departure,"ハツ、ホツhatsu, hotsu"
1650,髪,髮,髟,14,S,,hair of the head,"ハツ、かみhatsu, kami"
1651,伐,,人,6,S,,fell,バツbatsu
1652,抜,拔,手,7,S,,slip out,"バツ、ぬ-く、ぬ-ける、ぬ-かす、ぬ-かるbatsu, nu-ku, nu-keru, nu-kasu, nu-karu"
1653,罰,,网,14,S,,penalty,"バツ、バチbatsu, bachi"
1654,閥,,門,14,S,,clique,バツbatsu
1655,反,,又,4,3,,anti-,"ハン、（ホン）、（タン）、そ-る、そ-らすhan, (hon), (tan), so-ru, so-rasu"
1656,半,,十,5,2,,half,"ハン、なか-ばhan, naka-ba"
1657,氾,,水,5,S,2010,spread out,ハンhan
1658,犯,,犬,5,5,,crime,"ハン、おか-すhan, oka-su"
1659,帆,,巾,6,S,,sail,"ハン、ほhan, ho"
1660,汎,,水,6,S,2010,pan-,ハンhan
1661,伴,,人,7,S,,consort,"ハン、バン、ともな-うhan, ban, tomona-u"
1662,判,,刀,7,5,,judge,"ハン、バンhan, ban"
1663,坂,,土,7,3,,slope,"ハン、さかhan, saka"
1664,阪,,阜,7,S,2010,heights,ハンhan
1665,板,,木,8,3,,board,"ハン、バン、いたhan, ban, ita"
1666,版,,片,8,5,,printing block,ハンhan
1667,班,,玉,10,6,,squad,ハンhan
1668,畔,,田,10,S,,paddy-ridge,ハンhan
1669,般,,舟,10,S,,generally,ハンhan
1670,販,,貝,11,S,,marketing,ハンhan
1671,斑,,文,12,S,2010,blemish,ハンhan
1672,飯,,食,12,4,,meal,"ハン、めしhan, meshi"
1673,搬,,手,13,S,,conveyor,ハンhan
1674,煩,,火,13,S,,anxiety,"ハン、（ボン）、わずら-う、わずら-わすhan, (bon), wazura-u, wazura-wasu"
1675,頒,,頁,13,S,,partition,ハンhan
1676,範,,竹,15,S,,pattern,ハンhan
1677,繁,繁 [4],糸,16,S,,luxuriant,ハンhan
1678,藩,,艸,18,S,,clan,ハンhan
1679,晩,晚,日,12,6,,nightfall,バンban
1680,番,,田,12,2,,one's turn,バンban
1681,蛮,蠻,虫,12,S,,barbarian,バンban
1682,盤,,皿,15,S,,tray,バンban
1683,比,,比,4,5,,compare,"ヒ、くら-べるhi, kura-beru"
1684,皮,,皮,5,3,,skin,"ヒ、かわhi, kawa"
1685,妃,,女,6,S,,queen,ヒhi
1686,否,,口,7,6,,negate,"ヒ、いなhi, ina"
1687,批,,手,7,6,,criticism,ヒhi
1688,彼,,彳,8,S,,he,"ヒ、かれ、（かの）hi, kare, (kano)"
1689,披,,手,8,S,1981,expose,ヒhi
1690,肥,,肉,8,5,,fertilizer,"ヒ、こ-える、こえ、こ-やす、こ-やしhi, ko-eru, koe, ko-yasu, ko-yashi"
1691,非,,非,8,5,,negative,ヒhi
1692,卑,卑 [4],十,9,S,,lowly,"ヒ、いや-しい、いや-しむ、いや-しめるhi, iya-shii, iya-shimu, iya-shimeru"
1693,飛,,飛,9,4,,fly,"ヒ、と-ぶ、と-ばすhi, to-bu, to-basu"
1694,疲,,疒,10,S,,exhausted,"ヒ、つか-れるhi, tsuka-reru"
1695,秘,祕,示,10,6,,secret,"ヒ、ひ-めるhi, hi-meru"
1696,被,,衣,10,S,,incur,"ヒ、こうむ-るhi, kōmu-ru"
1697,悲,,心,12,3,,sad,"ヒ、かな-しい、かな-しむhi, kana-shii, kana-shimu"
1698,扉,,戶,12,S,1981,front door,"ヒ、とびらhi, tobira"
1699,費,,貝,12,4,,expense,"ヒ、つい-やす、つい-えるhi, tsui-yasu, tsui-eru"
1700,碑,碑 [4],石,14,S,,tombstone,ヒhi
1701,罷,,网,15,S,,quit,ヒhi
1702,避,,辵,16,S,,evade,"ヒ、さ-けるhi, sa-keru"
1703,尾,,尸,7,S,,tail,"ビ、おbi, o"
1704,眉,,目,9,S,2010,eyebrow,"ビ、（ミ）、まゆbi, (mi), mayu"
1705,美,,羊,9,3,,beauty,"ビ、うつく-しいbi, utsuku-shii"
1706,備,,人,12,5,,provide,"ビ、そな-える、そな-わるbi, sona-eru, sona-waru"
1707,微,,彳,13,S,,delicate,ビbi
1708,鼻,,鼻,14,3,,nose,"ビ、はなbi, hana"
1709,膝,,肉,15,S,2010,knee,ひざhiza
1710,肘,,肉,7,S,2010,elbow,ひじhiji
1711,匹,,匸,4,S,,equal,"ヒツ、ひきhitsu, hiki"
1712,必,,心,5,4,,without fail,"ヒツ、かなら-ずhitsu, kanara-zu"
1713,泌,,水,8,S,,ooze,"ヒツ、ヒhitsu, hi"
1714,筆,,竹,12,3,,writing brush,"ヒツ、ふでhitsu, fude"
1715,姫,,女,10,S,,princess,ひめhime
1716,百,,白,6,1,,hundred,ヒャクhyaku
1717,氷,,水,5,3,,ice,"ヒョウ、こおり、ひhyō, koori, hi"
1718,表,,衣,8,3,,express,"ヒョウ、おもて、あらわ-す、あらわ-れるhyō, omote, arawa-su, arawa-reru"
1719,俵,,人,10,5,,bag,"ヒョウ、たわらhyō, tawara"
1720,票,,示,11,4,,ballot,ヒョウhyō
1721,評,,言,12,5,,evaluate,ヒョウhyō
1722,漂,,水,14,S,,drift,"ヒョウ、ただよ-うhyō, tadayo-u"
1723,標,,木,15,4,,signpost,ヒョウhyō
1724,苗,,艸,8,S,,seedling,"ビョウ、なえ、（なわ）byō, nae, (nawa)"
1725,秒,,禾,9,3,,second (part of time),ビョウbyō
1726,病,,疒,10,3,,sick,"ビョウ、（ヘイ）、や-む、やまいbyō, (hei), ya-mu, yamai"
1727,描,,手,11,S,,sketch,"ビョウ、えが-く、か-くbyō, ega-ku, ka-ku"
1728,猫,,犬,11,S,1981,cat,"ビョウ、ねこbyō, neko"
1729,品,,口,9,3,,article,"ヒン、しなhin, shina"
1730,浜,濱,水,10,S,,seacoast,"ヒン、はまhin, hama"
1731,貧,,貝,11,5,,poor,"ヒン、ビン、まず-しいhin, bin, mazu-shii"
1732,賓,賓 [4],貝,15,S,,V.I.P.,ヒンhin
1733,頻,頻 [4],頁,17,S,1981,repeatedly,ヒンhin
1734,敏,敏 [4],攴,10,S,,cleverness,ビンbin
1735,瓶,甁,瓦,11,S,1981,flower pot,ビンbin
1736,不,,一,4,4,,non-,"フ、ブfu, bu"
1737,夫,,大,4,4,,husband,"フ、（フウ）、おっとfu, (fū), otto"
1738,父,,父,4,2,,father,"フ、ちちfu, chichi"
1739,付,,人,5,4,,attach,"フ、つ-ける、つ-くfu, tsu-keru, tsu-ku"
1740,布,,巾,5,5,,linen,"フ、ぬのfu, nuno"
1741,扶,,手,7,S,,aid,フfu
1742,府,,广,8,4,,urban prefecture,フfu
1743,怖,,心,8,S,,dreadful,"フ、こわ-いfu, kowa-i"
1744,阜,,阜,8,S,2010,mound,（フ）[6](fu)
1745,附,,阜,8,S,,affixed,フfu
1746,訃,,言,9,S,2010,obituary,フfu
1747,負,,貝,9,3,,lose,"フ、ま-ける、ま-かす、お-うfu, ma-keru, ma-kasu, o-u"
1748,赴,,走,9,S,,proceed,"フ、おもむ-くfu, omomu-ku"
1749,浮,,水,10,S,,floating,"フ、う-く、う-かれる、う-かぶ、う-かべるfu, u-ku, u-kareru, u-kabu, u-kaberu"
1750,婦,,女,11,5,,lady,フfu
1751,符,,竹,11,S,,token,フfu
1752,富,,宀,12,5,,rich,"フ、（フウ）、と-む、とみfu, (fū), to-mu, tomi"
1753,普,,日,12,S,,universal,フfu
1754,腐,,肉,14,S,,rot,"フ、くさ-る、くさ-れる、くさ-らすfu, kusa-ru, kusa-reru, kusa-rasu"
1755,敷,,攴,15,S,,spread,"フ、し-くfu, shi-ku"
1756,膚,,肉,15,S,,skin,フfu
1757,賦,,貝,15,S,,levy,フfu
1758,譜,,言,19,S,,musical score,フfu
1759,侮,侮 [4],人,8,S,,scorn,"ブ、あなど-るbu, anado-ru"
1760,武,,止,8,5,,military,"ブ、ムbu, mu"
1761,部,,邑,11,3,,part,ブbu
1762,舞,,舛,15,S,,dance,"ブ、ま-う、まいbu, ma-u, mai"
1763,封,,寸,9,S,,seal,"フウ、ホウfū, hō"
1764,風,,風,9,2,,wind,"フウ、（フ）、かぜ、（かざ）fū, (fu), kaze, (kaza)"
1765,伏,,人,6,S,,prostrated,"フク、ふ-せる、ふ-すfuku, fu-seru, fu-su"
1766,服,,月,8,3,,clothes,フクfuku
1767,副,,刀,11,4,,vice,フクfuku
1768,幅,,巾,12,S,,breadth,"フク、はばfuku, haba"
1769,復,,彳,12,5,,again,フクfuku
1770,福,福 [4],示,13,3,,luck,フクfuku
1771,腹,,肉,13,6,,abdomen,"フク、はらfuku, hara"
1772,複,,衣,14,5,,duplicate,フクfuku
1773,覆,,襾,18,S,,capsize,"フク、おお-う、くつがえ-す、くつがえ-るfuku, oo-u, kutsugae-su, kutsugae-ru"
1774,払,拂,手,5,S,,pay,"フツ、はら-うfutsu, hara-u"
1775,沸,,水,8,S,,seethe,"フツ、わ-く、わ-かすfutsu, wa-ku, wa-kasu"
1776,仏,佛,人,4,5,,Buddha,"ブツ、ほとけbutsu, hotoke"
1777,物,,牛,8,3,,thing,"ブツ、モツ、ものbutsu, motsu, mono"
1778,粉,,米,10,4,,flour,"フン、こ、こなfun, ko, kona"
1779,紛,,糸,10,S,,distract,"フン、まぎ-れる、まぎ-らす、まぎ-らわす、まぎ-らわしいfun, magi-reru, magi-rasu, magi-rawasu, magi-rawashii"
1780,雰,,雨,12,S,1981,atmosphere,フンfun
1781,噴,,口,15,S,,erupt,"フン、ふ-くfun, fu-ku"
1782,墳,,土,15,S,,tomb,フンfun
1783,憤,,心,15,S,,aroused,"フン、いきどお-るfun, ikidoo-ru"
1784,奮,,大,16,6,,stirred up,"フン、ふる-うfun, furu-u"
1785,分,,刀,4,2,,"part, minute of time","ブン、フン、ブ、わ-ける、わ-かれる、わ-かる、わ-かつbun, fun, bu, wa-keru, wa-kareru, wa-karu, wa-katsu"
1786,文,,文,4,1,,writing,"ブン、モン、ふみbun, mon, fumi"
1787,聞,,耳,14,2,,hear,"ブン、モン、き-く、き-こえるbun, mon, ki-ku, ki-koeru"
1788,丙,,一,5,S,,third class,ヘイhei
1789,平,,干,5,3,,flat,"ヘイ、ビョウ、たい-ら、ひらhei, byō, tai-ra, hira"
1790,兵,,八,7,4,,soldier,"ヘイ、ヒョウhei, hyō"
1791,併,倂,人,8,S,,join,"ヘイ、あわ-せるhei, awa-seru"
1792,並,竝,立,8,6,,line-up,"ヘイ、なみ、なら-べる、なら-ぶ、なら-びにhei, nami, nara-beru, nara-bu, nara-bini"
1793,柄,,木,9,S,,design,"ヘイ、がら、えhei, gara, e"
1794,陛,,阜,10,6,,highness,ヘイhei
1795,閉,,門,11,6,,closed,"ヘイ、と-じる、と-ざす、し-める、し-まるhei, to-jiru, to-zasu, shi-meru, shi-maru"
1796,塀,塀 [4],土,12,S,1981,fence,ヘイhei
1797,幣,,巾,15,S,,cash,ヘイhei
1798,弊,,廾,15,S,,abuse,ヘイhei
1799,蔽 [7],,艸,15,S,2010,cover,ヘイhei
1800,餅 [8],餠,食,15,S,2010,mochi rice cake,"ヘイ、もちhei, mochi"
1801,米,,米,6,2,,rice,"ベイ、マイ、こめbei, mai, kome"
1802,壁,,土,16,S,,wall,"ヘキ、かべheki, kabe"
1803,璧,,玉,18,S,2010,sphere,ヘキheki
1804,癖,,疒,18,S,,mannerism,"ヘキ、くせheki, kuse"
1805,別,,刀,7,4,,separate,"ベツ、わか-れるbetsu, waka-reru"
1806,蔑,,艸,14,S,2010,ignore,"ベツ、さげす-むbetsu, sagesu-mu"
1807,片,,片,4,6,,one-sided,"ヘン、かたhen, kata"
1808,辺,邊,辵,5,4,,environs,"ヘン、あた-り、べhen, ata-ri, be"
1809,返,,辵,7,3,,return,"ヘン、かえ-す、かえ-るhen, kae-su, kae-ru"
1810,変,變,言,9,4,,change,"ヘン、か-わる、か-えるhen, ka-waru, ka-eru"
1811,偏,,人,11,S,,partial,"ヘン、かたよ-るhen, katayo-ru"
1812,遍,,辵,12,S,,everywhere,ヘンhen
1813,編,,糸,15,5,,compile,"ヘン、あ-むhen, a-mu"
1814,弁,辨瓣辯,辛瓜辛,5,5,,valve,ベンben
1815,便,,人,9,4,,convenience,"ベン、ビン、たよ-りben, bin, tayo-ri"
1816,勉,勉 [4],力,10,3,,exertion,ベンben
1817,歩,步,止,8,2,,walk,"ホ、ブ、（フ）、ある-く、あゆ-むho, bu, (fu), aru-ku, ayu-mu"
1818,保,,人,9,5,,preserve,"ホ、たも-つho, tamo-tsu"
1819,哺,,口,10,S,2010,suckle,ホho
1820,捕,,手,10,S,,catch,"ホ、と-らえる、と-らわれる、と-る、つか-まえる、つか-まるho, to-raeru, to-rawareru, to-ru, tsuka-maeru, tsuka-maru"
1821,補,,衣,12,6,,supplement,"ホ、おぎな-うho, ogina-u"
1822,舗,,舌,15,S,,pavement,ホho
1823,母,,毋,5,2,,mother,"ボ、ははbo, haha"
1824,募,,力,12,S,,recruit,"ボ、つの-るbo, tsuno-ru"
1825,墓,,土,13,5,,grave,"ボ、はかbo, haka"
1826,慕,,心,14,S,,pining,"ボ、した-うbo, shita-u"
1827,暮,,日,14,6,,livelihood,"ボ、く-れる、く-らすbo, ku-reru, ku-rasu"
1828,簿,,竹,19,S,,register,ボbo
1829,方,,方,4,2,,direction,"ホウ、かたhō, kata"
1830,包,,勹,5,4,,wrap,"ホウ、つつ-むhō, tsutsu-mu"
1831,芳,,艸,7,S,,perfume,"ホウ、かんば-しいhō, kanba-shii"
1832,邦,,邑,7,S,,home country,ホウhō
1833,奉,,大,8,S,,observance,"ホウ、（ブ）、たてまつ-るhō, (bu), tatematsu-ru"
1834,宝,寶,宀,8,6,,treasure,"ホウ、たからhō, takara"
1835,抱,,手,8,S,,embrace,"ホウ、だ-く、いだ-く、かか-えるhō, da-ku, ida-ku, kaka-eru"
1836,放,,攴,8,3,,release,"ホウ、はな-す、はな-つ、はな-れる、ほう-るhō, hana-su, hana-tsu, hana-reru, hō-ru"
1837,法,,水,8,4,,method,"ホウ、（ハッ）、（ホッ）hō, (ha'), (ho')"
1838,泡,,水,8,S,1981,bubbles,"ホウ、あわhō, awa"
1839,胞,,肉,9,S,,placenta,ホウhō
1840,俸,,人,10,S,1981,salary,ホウhō
1841,倣,,人,10,S,,emulate,"ホウ、なら-うhō, nara-u"
1842,峰,,山,10,S,,summit,"ホウ、みねhō, mine"
1843,砲,,石,10,S,,cannon,ホウhō
1844,崩,,山,11,S,,crumble,"ホウ、くず-れる、くず-すhō, kuzu-reru, kuzu-su"
1845,訪,,言,11,6,,visit,"ホウ、おとず-れる、たず-ねるhō, otozu-reru, tazu-neru"
1846,報,,土,12,5,,report,"ホウ、むく-いるhō, muku-iru"
1847,蜂,,虫,13,S,2010,bee,"ホウ、はちhō, hachi"
1848,豊,豐,豆,13,5,,bountiful,"ホウ、ゆた-かhō, yuta-ka"
1849,飽,,食,13,S,,sated,"ホウ、あ-きる、あ-かすhō, a-kiru, a-kasu"
1850,褒,襃,衣,15,S,1981,praise,"ホウ、ほ-めるhō, ho-meru"
1851,縫,,糸,16,S,,sew,"ホウ、ぬ-うhō, nu-u"
1852,亡,,亠,3,6,,deceased,"ボウ、（モウ）、な-いbō, (mō), na-i"
1853,乏,,丿,4,S,,scarce,"ボウ、とぼ-しいbō, tobo-shii"
1854,忙,,心,6,S,,busy,"ボウ、いそが-しいbō, isoga-shii"
1855,坊,,土,7,S,,boy,"ボウ、（ボッ）bō, (bo')"
1856,妨,,女,7,S,,disturb,"ボウ、さまた-げるbō, samata-geru"
1857,忘,,心,7,6,,forget,"ボウ、わす-れるbō, wasu-reru"
1858,防,,阜,7,5,,prevent,"ボウ、ふせ-ぐbō, fuse-gu"
1859,房,,戶,8,S,,tassel,"ボウ、ふさbō, fusa"
1860,肪,,肉,8,S,,obese,ボウbō
1861,某,,木,9,S,,so-and-so,ボウbō
1862,冒,,冂,9,S,,risk,"ボウ、おか-すbō, oka-su"
1863,剖,,刀,10,S,,divide,ボウbō
1864,紡,,糸,10,S,,spinning,"ボウ、つむ-ぐbō, tsumu-gu"
1865,望,,月,11,4,,hope,"ボウ、モウ、のぞ-むbō, mō, nozo-mu"
1866,傍,,人,12,S,,bystander,"ボウ、かたわ-らbō, katawa-ra"
1867,帽,,巾,12,S,,cap,ボウbō
1868,棒,,木,12,6,,rod,ボウbō
1869,貿,,貝,12,5,,trade,ボウbō
1870,貌,,豸,14,S,2010,appearance,ボウbō
1871,暴,,日,15,5,,outburst,"ボウ、（バク）、あば-く、あば-れるbō, (baku), aba-ku, aba-reru"
1872,膨,,肉,16,S,,swell,"ボウ、ふく-らむ、ふく-れるbō, fuku-ramu, fuku-reru"
1873,謀,,言,16,S,,conspire,"ボウ、（ム）、はか-るbō, (mu), haka-ru"
1874,頰 [7],,頁,16,S,2010,cheek,ほおhoo
1875,北,,匕,5,2,,north,"ホク、きたhoku, kita"
1876,木,,木,4,1,,tree,"ボク、モク、き、（こ）boku, moku, ki, (ko)"
1877,朴,,木,6,S,1981,crude,ボクboku
1878,牧,,牛,8,4,,breed,"ボク、まきboku, maki"
1879,睦,,目,13,S,2010,harmonious,ボクboku
1880,僕,,人,14,S,1981,me,ボクboku
1881,墨,墨 [4],土,14,S,,black ink,"ボク、すみboku, sumi"
1882,撲,,手,15,S,,slap,ボクboku
1883,没,沒,水,7,S,,drown,ボツbotsu
1884,勃,,力,9,S,2010,rise,ボツbotsu
1885,堀,,土,11,S,1981,ditch,ほりhori
1886,本,,木,5,1,,book,"ホン、もとhon, moto"
1887,奔,,大,8,S,,bustle,ホンhon
1888,翻,飜,飛,18,S,,flip,"ホン、ひるがえ-る、ひるがえ-すhon, hirugae-ru, hirugae-su"
1889,凡,,几,3,S,,mediocre,"ボン、（ハン）bon, (han)"
1890,盆,,皿,9,S,,basin,ボンbon
1891,麻,,麻,11,S,,hemp,"マ、あさma, asa"
1892,摩,,手,15,S,,chafe,マma
1893,磨,,石,16,S,1981,grind,"マ、みが-くma, miga-ku"
1894,魔,,鬼,21,S,,witch,マma
1895,毎,每,毋,6,2,,every,マイmai
1896,妹,,女,8,2,,younger sister,"マイ、いもうとmai, imōto"
1897,枚,,木,8,6,,sheet of...,マイmai
1898,昧,,日,9,S,2010,foolish,マイmai
1899,埋,,土,10,S,,bury,"マイ、う-める、う-まる、う-もれるmai, u-meru, u-maru, u-moreru"
1900,幕,,巾,13,6,,curtain,"マク、バクmaku, baku"
1901,膜,,肉,14,S,,membrane,マクmaku
1902,枕,,木,8,S,2010,pillow,まくらmakura
1903,又,,又,2,S,,or again,またmata
1904,末,,木,5,4,,end,"マツ、バツ、すえmatsu, batsu, sue"
1905,抹,,手,8,S,1981,rub,マツmatsu
1906,万,萬,艸,3,2,,ten thousand,"マン、バンman, ban"
1907,満,滿,水,12,4,,full,"マン、み-ちる、み-たすman, mi-chiru, mi-tasu"
1908,慢,,心,14,S,,ridicule,マンman
1909,漫,,水,14,S,,cartoon,マンman
1910,未,,木,5,4,,not yet,ミmi
1911,味,,口,8,3,,flavor,"ミ、あじ、あじ-わうmi, aji, aji-wau"
1912,魅,,鬼,15,S,,fascination,ミmi
1913,岬,,山,8,S,1981,headland,みさきmisaki
1914,密,,宀,11,6,,secrecy,ミツmitsu
1915,蜜,,虫,14,S,2010,honey,ミツmitsu
1916,脈,,肉,10,4,,vein,ミャクmyaku
1917,妙,,女,7,S,,exquisite,ミョウmyō
1918,民,,氏,5,4,,people,"ミン、たみmin, tami"
1919,眠,,目,10,S,,sleep,"ミン、ねむ-る、ねむ-いmin, nemu-ru, nemu-i"
1920,矛,,矛,5,S,,halberd,"ム、ほこmu, hoko"
1921,務,,力,11,5,,duty,"ム、つと-める、つと-まるmu, tsuto-meru, tsuto-maru"
1922,無,,火,12,4,,nothing,"ム、ブ、な-いmu, bu, na-i"
1923,夢,,夕,13,5,,dream,"ム、ゆめmu, yume"
1924,霧,,雨,19,S,,fog,"ム、きりmu, kiri"
1925,娘,,女,10,S,,daughter,むすめmusume
1926,名,,口,6,1,,name,"メイ、ミョウ、なmei, myō, na"
1927,命,,口,8,3,,fate,"メイ、ミョウ、いのちmei, myō, inochi"
1928,明,,日,8,2,,bright,"メイ、ミョウ、あ-かり、あか-るい、あか-るむ、あか-らむ、あき-らか、あ-ける、あ-く、あ-くる、あ-かすmei, myō, a-kari, aka-rui, aka-rumu, aka-ramu, aki-raka, a-keru, a-ku, a-kuru, a-kasu"
1929,迷,,辵,9,5,,astray,"メイ、まよ-うmei, mayo-u"
1930,冥,,冖,10,S,2010,dark,"メイ、ミョウmei, myō"
1931,盟,,皿,13,6,,alliance,メイmei
1932,銘,,金,14,S,,inscription,メイmei
1933,鳴,,鳥,14,2,,chirp,"メイ、な-く、な-る、な-らすmei, na-ku, na-ru, na-rasu"
1934,滅,,水,13,S,,destroy,"メツ、ほろ-びる、ほろ-ぼすmetsu, horo-biru, horo-bosu"
1935,免,免 [4],儿,8,S,,excuse,"メン、まぬか-れるmen, manuka-reru"
1936,面,,面,9,3,,face,"メン、おも、おもて、つらmen, omo, omote, tsura"
1937,綿,,糸,14,5,,cotton,"メン、わたmen, wata"
1938,麺,麵,麥,16,S,2010,noodles,メンmen
1939,茂,,艸,8,S,,overgrown,"モ、しげ-るmo, shige-ru"
1940,模,,木,14,6,,imitation,"モ、ボmo, bo"
1941,毛,,毛,4,2,,hair,"モウ、けmō, ke"
1942,妄,,女,6,S,1981,delusion,"モウ、ボウmō, bō"
1943,盲,,目,8,S,,blind,モウmō
1944,耗,,耒,10,S,,decrease,"モウ、（コウ）mō, (kō)"
1945,猛,,犬,11,S,,fierce,モウmō
1946,網,,糸,14,S,,netting,"モウ、あみmō, ami"
1947,目,,目,5,1,,eye,"モク、（ボク）、め、（ま）moku, (boku), me, (ma)"
1948,黙,默,黑,15,S,,silence,"モク、だま-るmoku, dama-ru"
1949,門,,門,8,2,,gates,"モン、かどmon, kado"
1950,紋,,糸,10,S,,family crest,モンmon
1951,問,,口,11,3,,question,"モン、と-う、と-い、（とん）mon, to-u, to-i, (ton)"
1952,冶,,冫,7,S,2010,melting,ヤya
1953,夜,,夕,8,2,,night,"ヤ、よ、よるya, yo, yoru"
1954,野,,里,11,2,,field,"ヤ、のya, no"
1955,弥,彌,弓,8,S,2010,all the more,やya
1956,厄,,厂,4,S,1981,unlucky,ヤクyaku
1957,役,,彳,7,3,,service,"ヤク、エキyaku, eki"
1958,約,,糸,9,4,,promise,ヤクyaku
1959,訳,譯,言,11,6,,translate,"ヤク、わけyaku, wake"
1960,薬,藥,艸,16,3,,medicine,"ヤク、くすりyaku, kusuri"
1961,躍,,足,21,S,,leap,"ヤク、おど-るyaku, odo-ru"
1962,闇,,門,17,S,2010,darkness,やみyami
1963,由,,田,5,3,,reason,"ユ、ユウ、（ユイ）、よしyu, yū, (yui), yoshi"
1964,油,,水,8,3,,oil,"ユ、あぶらyu, abura"
1965,喩,,口,12,S,2010,metaphor,ユyu
1966,愉,,心,12,S,,pleasure,ユyu
1967,諭,,言,16,S,,rebuke,"ユ、さと-すyu, sato-su"
1968,輸,,車,16,5,,transport,ユyu
1969,癒,,疒,18,S,1981,healing,"ユ、い-える、い-やすyu, i-eru, i-yasu"
1970,唯,,口,11,S,,solely,"ユイ、（イ）yui, (i)"
1971,友,,又,4,2,,friend,"ユウ、ともyū, tomo"
1972,有,,月,6,3,,have,"ユウ、ウ、あ-るyū, u, a-ru"
1973,勇,,力,9,4,,courage,"ユウ、いさ-むyū, isa-mu"
1974,幽,,幺,9,S,,seclude,ユウyū
1975,悠,,心,11,S,1981,permanence,ユウyū
1976,郵,,邑,11,6,,mail,ユウyū
1977,湧,,水,12,S,2010,boil,"ユウ、わ-くyū, wa-ku"
1978,猶,,犬,12,S,,furthermore,ユウyū
1979,裕,,衣,12,S,,abundant,ユウyū
1980,遊,,辵,12,3,,play,"ユウ、（ユ）、あそ-ぶyū, (yu), aso-bu"
1981,雄,,隹,12,S,,male,"ユウ、お、おすyū, o, osu"
1982,誘,,言,14,S,,entice,"ユウ、さそ-うyū, saso-u"
1983,憂,,心,15,S,,melancholy,"ユウ、うれ-える、うれ-い、う-いyū, ure-eru, ure-i, u-i"
1984,融,,虫,16,S,,dissolve,ユウyū
1985,優,,人,17,6,,superior,"ユウ、やさ-しい、すぐ-れるyū, yasa-shii, sugu-reru"
1986,与,與,臼,3,S,,give,"ヨ、あた-えるyo, ata-eru"
1987,予,豫,豕,4,3,,in advance,ヨyo
1988,余,餘,食,7,5,,leave over,"ヨ、あま-る、あま-すyo, ama-ru, ama-su"
1989,誉,譽,言,13,S,,reputation,"ヨ、ほま-れyo, homa-re"
1990,預,,頁,13,5,,deposit,"ヨ、あず-ける、あず-かるyo, azu-keru, azu-karu"
1991,幼,,幺,5,6,,infancy,"ヨウ、おさな-いyō, osana-i"
1992,用,,用,5,2,,use,"ヨウ、もち-いるyō, mochi-iru"
1993,羊,,羊,6,3,,sheep,"ヨウ、ひつじyō, hitsuji"
